OBJECTID,DATE,Count_
1,2020/03/04 10:00:00+00,0
2,2020/03/05 10:00:00+00,3
3,2020/03/06 10:00:00+00,3
4,2020/03/07 10:00:00+00,3
5,2020/03/08 10:00:00+00,5
6,2020/03/09 10:00:00+00,6
7,2020/03/10 10:00:00+00,9
8,2020/03/11 10:00:00+00,12
9,2020/03/12 10:00:00+00,12
10,2020/03/13 10:00:00+00,15
11,2020/03/14 10:00:00+00,26
12,2020/03/15 10:00:00+00,31
13,2020/03/16 10:00:00+00,37
14,2020/03/17 10:00:00+00,57
15,2020/03/18 10:00:00+00,85
16,2020/03/19 10:00:00+00,107
17,2020/03/20 10:00:00+00,149
18,2020/03/21 10:00:00+00,190
19,2020/03/22 10:00:00+00,244
20,2020/03/23 10:00:00+00,288
21,2020/03/24 10:00:00+00,349
22,2020/03/25 10:00:00+00,423
23,2020/03/26 10:00:00+00,580
24,2020/03/27 10:00:00+00,774
25,2020/03/28 10:00:00+00,992
26,2020/03/29 10:00:00+00,1239
27,2020/03/30 10:00:00+00,1413
28,2020/03/31 10:00:00+00,1660
29,2020/04/01 10:00:00+00,1985
30,2020/04/02 10:00:00+00,2331
31,2020/04/03 10:00:00+00,2758
32,2020/04/04 10:00:00+00,3125
33,2020/04/05 10:00:00+00,3609
34,2020/04/06 10:00:00+00,4045
35,2020/04/07 10:00:00+00,4371
36,2020/04/08 10:00:00+00,5529
37,2020/04/09 10:00:00+00,6185
38,2020/04/10 10:00:00+00,6968
39,2020/04/11 10:00:00+00,7694
40,2020/04/12 10:00:00+00,8225
41,2020/04/13 10:00:00+00,8936
42,2020/04/14 10:00:00+00,9472
43,2020/04/15 10:00:00+00,10032
44,2020/04/16 10:00:00+00,10784
45,2020/04/17 10:00:00+00,11572
46,2020/04/18 10:00:00+00,12308
47,2020/04/19 10:00:00+00,12830
48,2020/04/20 10:00:00+00,13684
49,2020/04/21 10:00:00+00,14193
50,2020/04/22 10:00:00+00,14775
51,2020/04/23 10:00:00+00,15737
52,2020/04/24 10:00:00+00,16616
53,2020/04/25 10:00:00+00,17766
54,2020/04/26 10:00:00+00,18581
55,2020/04/27 10:00:00+00,19487
56,2020/04/28 10:00:00+00,20113
57,2020/04/29 10:00:00+00,20849
58,2020/04/30 10:00:00+00,21742
59,2020/05/01 10:00:00+00,23472
60,2020/05/02 10:00:00+00,24473
61,2020/05/03 10:00:00+00,25462
62,2020/05/04 10:00:00+00,26408
63,2020/05/05 10:00:00+00,27117
64,2020/05/06 10:00:00+00,28163
65,2020/05/07 10:00:00+00,29374
66,2020/05/08 10:00:00+00,30485
67,2020/05/09 10:00:00+00,31534
68,2020/05/10 10:00:00+00,32587
69,2020/05/11 10:00:00+00,33373
70,2020/05/12 10:00:00+00,34061
71,2020/05/13 10:00:00+00,34812
72,2020/05/14 10:00:00+00,35903
73,2020/05/15 10:00:00+00,36986
74,2020/05/16 10:00:00+00,37968
75,2020/05/17 10:00:00+00,38804
76,2020/05/18 10:00:00+00,39762
77,2020/05/19 10:00:00+00,41546
78,2020/05/20 10:00:00+00,42323
79,2020/05/21 10:00:00+00,43531
80,2020/05/22 10:00:00+00,44424
81,2020/05/23 10:00:00+00,45495
82,2020/05/24 10:00:00+00,46313
83,2020/05/25 10:00:00+00,47152
84,2020/05/26 10:00:00+00,47687
85,2020/05/27 10:00:00+00,48423
86,2020/05/28 10:00:00+00,49709
87,2020/05/29 10:00:00+00,50988
88,2020/05/30 10:00:00+00,52015
89,2020/05/31 10:00:00+00,52778
90,2020/06/01 10:00:00+00,53327
91,2020/06/02 10:00:00+00,54175
92,2020/06/03 10:00:00+00,54982
93,2020/06/04 10:00:00+00,55858
94,2020/06/05 10:00:00+00,56770
95,2020/06/06 10:00:00+00,57482
96,2020/06/07 10:00:00+00,57973
97,2020/06/08 10:00:00+00,58404
98,2020/06/09 10:00:00+00,58904
99,2020/06/10 10:00:00+00,59465
100,2020/06/11 10:00:00+00,60197
101,2020/06/12 10:00:00+00,60613
102,2020/06/13 10:00:00+00,61305
103,2020/06/14 10:00:00+00,61701
104,2020/06/15 10:00:00+00,62032
105,2020/06/16 10:00:00+00,62409
106,2020/06/17 10:00:00+00,62969
107,2020/06/18 10:00:00+00,63229
108,2020/06/19 10:00:00+00,63548
109,2020/06/20 10:00:00+00,63956
110,2020/06/21 10:00:00+00,64306
111,2020/06/22 10:00:00+00,64603
112,2020/06/23 10:00:00+00,65007
113,2020/06/24 10:00:00+00,65337
114,2020/06/25 10:00:00+00,65777
115,2020/06/26 10:00:00+00,66115
116,2020/06/27 10:00:00+00,66450
117,2020/06/28 10:00:00+00,66777
118,2020/06/29 10:00:00+00,67254
119,2020/06/30 10:00:00+00,67559
120,2020/07/01 10:00:00+00,67918
121,2020/07/02 10:00:00+00,68423
122,2020/07/03 10:00:00+00,68961
123,2020/07/04 10:00:00+00,69341
124,2020/07/05 10:00:00+00,69632
125,2020/07/06 10:00:00+00,69904
126,2020/07/07 10:00:00+00,70396
127,2020/07/08 10:00:00+00,70861
128,2020/07/09 10:00:00+00,71447
129,2020/07/10 10:00:00+00,71910
130,2020/07/11 10:00:00+00,72467
131,2020/07/12 10:00:00+00,73109
132,2020/07/13 10:00:00+00,73527
133,2020/07/14 10:00:00+00,74260
134,2020/07/15 10:00:00+00,75016
135,2020/07/16 10:00:00+00,75664
136,2020/07/17 10:00:00+00,76371
137,2020/07/18 10:00:00+00,77206
138,2020/07/19 10:00:00+00,78131
139,2020/07/20 10:00:00+00,78685
140,2020/07/21 10:00:00+00,79545
141,2020/07/22 10:00:00+00,80172
142,2020/07/23 10:00:00+00,80836
143,2020/07/24 10:00:00+00,81766
144,2020/07/25 10:00:00+00,83054
145,2020/07/26 10:00:00+00,83748
146,2020/07/27 10:00:00+00,84876
147,2020/07/28 10:00:00+00,85524
148,2020/07/29 10:00:00+00,86285
149,2020/07/30 10:00:00+00,87177
150,2020/07/31 10:00:00+00,88346
151,2020/08/01 10:00:00+00,89365
152,2020/08/02 10:00:00+00,90274
153,2020/08/03 10:00:00+00,91144
154,2020/08/04 10:00:00+00,91854
155,2020/08/05 10:00:00+00,92426
156,2020/08/06 10:00:00+00,93005
157,2020/08/07 10:00:00+00,93806
158,2020/08/08 10:00:00+00,94581
159,2020/08/09 10:00:00+00,95503
160,2020/08/10 10:00:00+00,96258
161,2020/08/11 10:00:00+00,96843
162,2020/08/12 10:00:00+00,97384
163,2020/08/13 10:00:00+00,98160
164,2020/08/14 10:00:00+00,98875
165,2020/08/15 10:00:00+00,99693
166,2020/08/16 10:00:00+00,100212
167,2020/08/17 10:00:00+00,100715
168,2020/08/18 10:00:00+00,101235
169,2020/08/19 10:00:00+00,101649
170,2020/08/20 10:00:00+00,102229
171,2020/08/21 10:00:00+00,102899
172,2020/08/22 10:00:00+00,103523
173,2020/08/23 10:00:00+00,104102
174,2020/08/24 10:00:00+00,104669
175,2020/08/25 10:00:00+00,105046
176,2020/08/26 10:00:00+00,105486
177,2020/08/27 10:00:00+00,106063
178,2020/08/28 10:00:00+00,106664
179,2020/08/29 10:00:00+00,107294
180,2020/08/30 10:00:00+00,107791
181,2020/08/31 10:00:00+00,108249
182,2020/09/01 10:00:00+00,108863
183,2020/09/02 10:00:00+00,109319
184,2020/09/03 10:00:00+00,110012
185,2020/09/04 10:00:00+00,110831
186,2020/09/05 10:00:00+00,111607
187,2020/09/06 10:00:00+00,112119
188,2020/09/07 10:00:00+00,112883
189,2020/09/08 10:00:00+00,113239
190,2020/09/09 10:00:00+00,113575
191,2020/09/10 10:00:00+00,114078
192,2020/09/11 10:00:00+00,114724
193,2020/09/12 10:00:00+00,115533
194,2020/09/13 10:00:00+00,116110
195,2020/09/14 10:00:00+00,116646
196,2020/09/15 10:00:00+00,117245
197,2020/09/16 10:00:00+00,117888
198,2020/09/17 10:00:00+00,118519
199,2020/09/18 10:00:00+00,119062
200,2020/09/19 10:00:00+00,119744
201,2020/09/20 10:00:00+00,120156
202,2020/09/21 10:00:00+00,120568
203,2020/09/22 10:00:00+00,120912
204,2020/09/23 10:00:00+00,121297
205,2020/09/24 10:00:00+00,121800
206,2020/09/25 10:00:00+00,122359
207,2020/09/26 10:00:00+00,122972
208,2020/09/27 10:00:00+00,123403
209,2020/09/28 10:00:00+00,123880
210,2020/09/29 10:00:00+00,124311
211,2020/09/30 10:00:00+00,124725
212,2020/10/01 10:00:00+00,125510
213,2020/10/02 10:00:00+00,126222
214,2020/10/03 10:00:00+00,126819
215,2020/10/04 10:00:00+00,127290
216,2020/10/05 10:00:00+00,127791
217,2020/10/06 10:00:00+00,128204
218,2020/10/07 10:00:00+00,128664
219,2020/10/08 10:00:00+00,129425
220,2020/10/09 10:00:00+00,130159
221,2020/10/10 10:00:00+00,130795
222,2020/10/11 10:00:00+00,131357
223,2020/10/12 10:00:00+00,131861
224,2020/10/13 10:00:00+00,132343
225,2020/10/14 10:00:00+00,132918
226,2020/10/15 10:00:00+00,133548
227,2020/10/16 10:00:00+00,134329
228,2020/10/17 10:00:00+00,135127
229,2020/10/18 10:00:00+00,135657
230,2020/10/19 10:00:00+00,136154
231,2020/10/20 10:00:00+00,136744
232,2020/10/21 10:00:00+00,137236
233,2020/10/22 10:00:00+00,137979
234,2020/10/23 10:00:00+00,138691
235,2020/10/24 10:00:00+00,139487
236,2020/10/25 10:00:00+00,140279
237,2020/10/26 10:00:00+00,140844
238,2020/10/27 10:00:00+00,141741
239,2020/10/28 10:00:00+00,142425
240,2020/10/29 10:00:00+00,143387
241,2020/10/30 10:00:00+00,144314
242,2020/10/31 10:00:00+00,145281
243,2020/11/01 10:00:00+00,146145
244,2020/11/02 10:00:00+00,146995
245,2020/11/03 10:00:00+00,147766
246,2020/11/04 10:00:00+00,148766
247,2020/11/05 10:00:00+00,149964
248,2020/11/06 10:00:00+00,151505
249,2020/11/07 10:00:00+00,152915
250,2020/11/08 10:00:00+00,153996
251,2020/11/09 10:00:00+00,155371
252,2020/11/10 10:00:00+00,156709
253,2020/11/11 10:00:00+00,158423
254,2020/11/12 10:00:00+00,159900
255,2020/11/13 10:00:00+00,161769
256,2020/11/14 10:00:00+00,164090
257,2020/11/15 10:00:00+00,165930
258,2020/11/16 10:00:00+00,167656
259,2020/11/17 10:00:00+00,169805
260,2020/11/18 10:00:00+00,171823
261,2020/11/19 10:00:00+00,174733
262,2020/11/20 10:00:00+00,177086
263,2020/11/21 10:00:00+00,179971
264,2020/11/22 10:00:00+00,182139
265,2020/11/23 10:00:00+00,183797
266,2020/11/24 10:00:00+00,185464
267,2020/11/25 10:00:00+00,188161
268,2020/11/26 10:00:00+00,190480
269,2020/11/27 10:00:00+00,192858
270,2020/11/28 10:00:00+00,194448
271,2020/11/29 10:00:00+00,196447
272,2020/11/30 10:00:00+00,198370
273,2020/12/01 10:00:00+00,201135
274,2020/12/02 10:00:00+00,203355
275,2020/12/03 10:00:00+00,205399
276,2020/12/04 10:00:00+00,209191
277,2020/12/05 10:00:00+00,212384
278,2020/12/06 10:00:00+00,215027
279,2020/12/07 10:00:00+00,217329
280,2020/12/08 10:00:00+00,219961
281,2020/12/09 10:00:00+00,222653
282,2020/12/10 10:00:00+00,225855
283,2020/12/11 10:00:00+00,228471
284,2020/12/12 10:00:00+00,232009
285,2020/12/13 10:00:00+00,234647
286,2020/12/14 10:00:00+00,236961
287,2020/12/15 10:00:00+00,239362
288,2020/12/16 10:00:00+00,241767
289,2020/12/17 10:00:00+00,243984
290,2020/12/18 10:00:00+00,246553
291,2020/12/19 10:00:00+00,248754
292,2020/12/20 10:00:00+00,250808
293,2020/12/21 10:00:00+00,253073
294,2020/12/22 10:00:00+00,255397
295,2020/12/23 10:00:00+00,257862
296,2020/12/24 10:00:00+00,260728
297,2020/12/25 10:00:00+00,263160
298,2020/12/26 10:00:00+00,265440
299,2020/12/27 10:00:00+00,267198
300,2020/12/28 10:00:00+00,269183
301,2020/12/29 10:00:00+00,271061
302,2020/12/30 10:00:00+00,273689
303,2020/12/31 10:00:00+00,276662
304,2021/01/01 10:00:00+00,280219
305,2021/01/02 10:00:00+00,283171
306,2021/01/03 10:00:00+00,285319
307,2021/01/04 10:00:00+00,287802
308,2021/01/05 10:00:00+00,289758
309,2021/01/06 10:00:00+00,292904
310,2021/01/07 10:00:00+00,295874
311,2021/01/08 10:00:00+00,299606
312,2021/01/09 10:00:00+00,303364
313,2021/01/10 10:00:00+00,306674
314,2021/01/11 10:00:00+00,309686
315,2021/01/12 10:00:00+00,312351
316,2021/01/13 10:00:00+00,314867
317,2021/01/14 10:00:00+00,317815
318,2021/01/15 10:00:00+00,320739
319,2021/01/16 10:00:00+00,324031
320,2021/01/17 10:00:00+00,326445
321,2021/01/18 10:00:00+00,328214
322,2021/01/19 10:00:00+00,330186
323,2021/01/20 10:00:00+00,332353
324,2021/01/21 10:00:00+00,334519
325,2021/01/22 10:00:00+00,336915
326,2021/01/23 10:00:00+00,339307
327,2021/01/24 10:00:00+00,341452
328,2021/01/25 10:00:00+00,343138
329,2021/01/26 10:00:00+00,344620
330,2021/01/27 10:00:00+00,346559
331,2021/01/28 10:00:00+00,348749
332,2021/01/29 10:00:00+00,350629
333,2021/01/30 10:00:00+00,352726
334,2021/01/31 10:00:00+00,354473
335,2021/02/01 10:00:00+00,355636
336,2021/02/02 10:00:00+00,356541
337,2021/02/03 10:00:00+00,357483
338,2021/02/04 10:00:00+00,359037
339,2021/02/05 10:00:00+00,360584
340,2021/02/06 10:00:00+00,362084
341,2021/02/07 10:00:00+00,363650
342,2021/02/08 10:00:00+00,364553
343,2021/02/09 10:00:00+00,365529
344,2021/02/10 10:00:00+00,366666
345,2021/02/11 10:00:00+00,367865
346,2021/02/12 10:00:00+00,368977
347,2021/02/13 10:00:00+00,370136
348,2021/02/14 10:00:00+00,370983
349,2021/02/15 10:00:00+00,371705
350,2021/02/16 10:00:00+00,372221
351,2021/02/17 10:00:00+00,372980
352,2021/02/18 10:00:00+00,373966
353,2021/02/19 10:00:00+00,374974
354,2021/02/20 10:00:00+00,375737
355,2021/02/21 10:00:00+00,376355
356,2021/02/22 10:00:00+00,376966
357,2021/02/23 10:00:00+00,377628
358,2021/02/24 10:00:00+00,378490
359,2021/02/25 10:00:00+00,379466
360,2021/02/26 10:00:00+00,380436
361,2021/02/27 10:00:00+00,381272
362,2021/02/28 10:00:00+00,382099
363,2021/03/01 10:00:00+00,382702
364,2021/03/02 10:00:00+00,383170
365,2021/03/03 10:00:00+00,383956
366,2021/03/04 10:00:00+00,384765
367,2021/03/05 10:00:00+00,385678
368,2021/03/06 10:00:00+00,386610
369,2021/03/07 10:00:00+00,387319
370,2021/03/08 10:00:00+00,388035
371,2021/03/09 10:00:00+00,388666
372,2021/03/10 10:00:00+00,389566
373,2021/03/11 10:00:00+00,390490
374,2021/03/12 10:00:00+00,391480
375,2021/03/13 10:00:00+00,392581
376,2021/03/14 10:00:00+00,393441
377,2021/03/15 10:00:00+00,394058
378,2021/03/16 10:00:00+00,394716
379,2021/03/17 10:00:00+00,395633
380,2021/03/18 10:00:00+00,396746
381,2021/03/19 10:00:00+00,397898
382,2021/03/20 10:00:00+00,399016
383,2021/03/21 10:00:00+00,400023
384,2021/03/22 10:00:00+00,400705
385,2021/03/23 10:00:00+00,401427
386,2021/03/24 10:00:00+00,402600
387,2021/03/25 10:00:00+00,403982
388,2021/03/26 10:00:00+00,405343
389,2021/03/27 10:00:00+00,406709
390,2021/03/28 10:00:00+00,408044
391,2021/03/29 10:00:00+00,409075
392,2021/03/30 10:00:00+00,409978
393,2021/03/31 10:00:00+00,411344
394,2021/04/01 10:00:00+00,412928
395,2021/04/02 10:00:00+00,414385
396,2021/04/03 10:00:00+00,415660
397,2021/04/04 10:00:00+00,417329
398,2021/04/05 10:00:00+00,418188
399,2021/04/06 10:00:00+00,419055
400,2021/04/07 10:00:00+00,420526
401,2021/04/08 10:00:00+00,421823
402,2021/04/09 10:00:00+00,423663
403,2021/04/10 10:00:00+00,425247
404,2021/04/11 10:00:00+00,426730
405,2021/04/12 10:00:00+00,427715
406,2021/04/13 10:00:00+00,428799
407,2021/04/14 10:00:00+00,430351
408,2021/04/15 10:00:00+00,431795
409,2021/04/16 10:00:00+00,433359
410,2021/04/17 10:00:00+00,434859
411,2021/04/18 10:00:00+00,436028
412,2021/04/19 10:00:00+00,436659
413,2021/04/20 10:00:00+00,437584
414,2021/04/21 10:00:00+00,438789
415,2021/04/22 10:00:00+00,439992
416,2021/04/23 10:00:00+00,441155
417,2021/04/24 10:00:00+00,442351
418,2021/04/25 10:00:00+00,443257
419,2021/04/26 10:00:00+00,443814
420,2021/04/27 10:00:00+00,444491
421,2021/04/28 10:00:00+00,445493
422,2021/04/29 10:00:00+00,446459
423,2021/04/30 10:00:00+00,447401
424,2021/05/01 10:00:00+00,448340
425,2021/05/02 10:00:00+00,448989
426,2021/05/03 10:00:00+00,449509
427,2021/05/04 10:00:00+00,450010
428,2021/05/05 10:00:00+00,450689
429,2021/05/06 10:00:00+00,451267
430,2021/05/07 10:00:00+00,452035
431,2021/05/08 10:00:00+00,452691
432,2021/05/09 10:00:00+00,453125
433,2021/05/10 10:00:00+00,453401
434,2021/05/11 10:00:00+00,453800
435,2021/05/12 10:00:00+00,454271
436,2021/05/13 10:00:00+00,454745
437,2021/05/14 10:00:00+00,455257
438,2021/05/15 10:00:00+00,455635
439,2021/05/16 10:00:00+00,456004
440,2021/05/17 10:00:00+00,456216
441,2021/05/18 10:00:00+00,456428
442,2021/05/19 10:00:00+00,456765
443,2021/05/20 10:00:00+00,457084
444,2021/05/21 10:00:00+00,457527
445,2021/05/22 10:00:00+00,458048
446,2021/05/23 10:00:00+00,458292
447,2021/05/24 10:00:00+00,458520
448,2021/05/25 10:00:00+00,458680
449,2021/05/26 10:00:00+00,458878
450,2021/05/27 10:00:00+00,459095
451,2021/05/28 10:00:00+00,459343
452,2021/05/29 10:00:00+00,459528
453,2021/05/30 10:00:00+00,459777
454,2021/05/31 10:00:00+00,459894
455,2021/06/01 10:00:00+00,459995
456,2021/06/02 10:00:00+00,460060
457,2021/06/03 10:00:00+00,460194
458,2021/06/04 10:00:00+00,460339
459,2021/06/05 10:00:00+00,460471
460,2021/06/06 10:00:00+00,460575
461,2021/06/07 10:00:00+00,460659
462,2021/06/08 10:00:00+00,460737
463,2021/06/09 10:00:00+00,460863
464,2021/06/10 10:00:00+00,460984
465,2021/06/11 10:00:00+00,461097
466,2021/06/12 10:00:00+00,461183
467,2021/06/13 10:00:00+00,461265
468,2021/06/14 10:00:00+00,461325
469,2021/06/15 10:00:00+00,461392
470,2021/06/16 10:00:00+00,461470
471,2021/06/17 10:00:00+00,461549
472,2021/06/18 10:00:00+00,461635
473,2021/06/19 10:00:00+00,461697
474,2021/06/20 10:00:00+00,461739
475,2021/06/21 10:00:00+00,461779
476,2021/06/22 10:00:00+00,461828
477,2021/06/23 10:00:00+00,461887
478,2021/06/24 10:00:00+00,461953
479,2021/06/25 10:00:00+00,462017
480,2021/06/26 10:00:00+00,462078
481,2021/06/27 10:00:00+00,462144
482,2021/06/28 10:00:00+00,462181
483,2021/06/29 10:00:00+00,462217
484,2021/06/30 10:00:00+00,462279
485,2021/07/01 10:00:00+00,462354
486,2021/07/02 10:00:00+00,462439
487,2021/07/03 10:00:00+00,462535
488,2021/07/04 10:00:00+00,462596
489,2021/07/05 10:00:00+00,462634
490,2021/07/06 10:00:00+00,462681
491,2021/07/07 10:00:00+00,462736
492,2021/07/08 10:00:00+00,462835
493,2021/07/09 10:00:00+00,462980
494,2021/07/10 10:00:00+00,463107
495,2021/07/11 10:00:00+00,463186
496,2021/07/12 10:00:00+00,463265
497,2021/07/13 10:00:00+00,463383
498,2021/07/14 10:00:00+00,463487
499,2021/07/15 10:00:00+00,463665
500,2021/07/16 10:00:00+00,463848
501,2021/07/17 10:00:00+00,464031
502,2021/07/18 10:00:00+00,464197
503,2021/07/19 10:00:00+00,464336
504,2021/07/20 10:00:00+00,464491
505,2021/07/21 10:00:00+00,464735
506,2021/07/22 10:00:00+00,465038
507,2021/07/23 10:00:00+00,465326
508,2021/07/24 10:00:00+00,465643
509,2021/07/25 10:00:00+00,465949
510,2021/07/26 10:00:00+00,466205
511,2021/07/27 10:00:00+00,466514
512,2021/07/28 10:00:00+00,466930
513,2021/07/29 10:00:00+00,467435
514,2021/07/30 10:00:00+00,467961
515,2021/07/31 10:00:00+00,468548
516,2021/08/01 10:00:00+00,469095
517,2021/08/02 10:00:00+00,469542
518,2021/08/03 10:00:00+00,469910
519,2021/08/04 10:00:00+00,470605
520,2021/08/05 10:00:00+00,471334
521,2021/08/06 10:00:00+00,472224
522,2021/08/07 10:00:00+00,473116
523,2021/08/08 10:00:00+00,473969
524,2021/08/09 10:00:00+00,474555
525,2021/08/10 10:00:00+00,475184
526,2021/08/11 10:00:00+00,476070
527,2021/08/12 10:00:00+00,477117
528,2021/08/13 10:00:00+00,478067
529,2021/08/14 10:00:00+00,479083
530,2021/08/15 10:00:00+00,479952
531,2021/08/16 10:00:00+00,480718
532,2021/08/17 10:00:00+00,481569
533,2021/08/18 10:00:00+00,482581
534,2021/08/19 10:00:00+00,483641
535,2021/08/20 10:00:00+00,484847
536,2021/08/21 10:00:00+00,485978
537,2021/08/22 10:00:00+00,486968
538,2021/08/23 10:00:00+00,487893
539,2021/08/24 10:00:00+00,488740
540,2021/08/25 10:00:00+00,489930
541,2021/08/26 10:00:00+00,491174
542,2021/08/27 10:00:00+00,492547
543,2021/08/28 10:00:00+00,493915
544,2021/08/29 10:00:00+00,494982
545,2021/08/30 10:00:00+00,495924
546,2021/08/31 10:00:00+00,497002
547,2021/09/01 10:00:00+00,498376
548,2021/09/02 10:00:00+00,499648
549,2021/09/03 10:00:00+00,501035
550,2021/09/04 10:00:00+00,502229
551,2021/09/05 10:00:00+00,503034
552,2021/09/06 10:00:00+00,504061
553,2021/09/07 10:00:00+00,504856
554,2021/09/08 10:00:00+00,505557
555,2021/09/09 10:00:00+00,506464
556,2021/09/10 10:00:00+00,508017
557,2021/09/11 10:00:00+00,509393
558,2021/09/12 10:00:00+00,510543
559,2021/09/13 10:00:00+00,511646
560,2021/09/14 10:00:00+00,512740
561,2021/09/15 10:00:00+00,513929
562,2021/09/16 10:00:00+00,515259
563,2021/09/17 10:00:00+00,516784
564,2021/09/18 10:00:00+00,518061
565,2021/09/19 10:00:00+00,519097
566,2021/09/20 10:00:00+00,520236
567,2021/09/21 10:00:00+00,521210
568,2021/09/22 10:00:00+00,522355
569,2021/09/23 10:00:00+00,523760
570,2021/09/24 10:00:00+00,525123
571,2021/09/25 10:00:00+00,526690
572,2021/09/26 10:00:00+00,527804
573,2021/09/27 10:00:00+00,528764
574,2021/09/28 10:00:00+00,529736
575,2021/09/29 10:00:00+00,530861
576,2021/09/30 10:00:00+00,532340
577,2021/10/01 10:00:00+00,533870
578,2021/10/02 10:00:00+00,535157
579,2021/10/03 10:00:00+00,536249
580,2021/10/04 10:00:00+00,537327
581,2021/10/05 10:00:00+00,537976
582,2021/10/06 10:00:00+00,539053
583,2021/10/07 10:00:00+00,540451
584,2021/10/08 10:00:00+00,541627
585,2021/10/09 10:00:00+00,542886
586,2021/10/10 10:00:00+00,544219
587,2021/10/11 10:00:00+00,545028
588,2021/10/12 10:00:00+00,545439
589,2021/10/13 10:00:00+00,546552
590,2021/10/14 10:00:00+00,547675
591,2021/10/15 10:00:00+00,548743
592,2021/10/16 10:00:00+00,549679
593,2021/10/17 10:00:00+00,550550
594,2021/10/18 10:00:00+00,551264
595,2021/10/19 10:00:00+00,551807
596,2021/10/20 10:00:00+00,552524
597,2021/10/21 10:00:00+00,553593
598,2021/10/22 10:00:00+00,554456
599,2021/10/23 10:00:00+00,555366
600,2021/10/24 10:00:00+00,556083
601,2021/10/25 10:00:00+00,556595
602,2021/10/26 10:00:00+00,557192
603,2021/10/27 10:00:00+00,557923
604,2021/10/28 10:00:00+00,558852
605,2021/10/29 10:00:00+00,559763
606,2021/10/30 10:00:00+00,560634
607,2021/10/31 10:00:00+00,561270
608,2021/11/01 10:00:00+00,561718
609,2021/11/02 10:00:00+00,562200
610,2021/11/03 10:00:00+00,562896
611,2021/11/04 10:00:00+00,563696
612,2021/11/05 10:00:00+00,564564
613,2021/11/06 10:00:00+00,565355
614,2021/11/07 10:00:00+00,566082
615,2021/11/08 10:00:00+00,566637
616,2021/11/09 10:00:00+00,567085
617,2021/11/10 10:00:00+00,567929
618,2021/11/11 10:00:00+00,568914
619,2021/11/12 10:00:00+00,569823
620,2021/11/13 10:00:00+00,570806
621,2021/11/14 10:00:00+00,571625
622,2021/11/15 10:00:00+00,572342
623,2021/11/16 10:00:00+00,573044
624,2021/11/17 10:00:00+00,573835
625,2021/11/18 10:00:00+00,574914
626,2021/11/19 10:00:00+00,575996
627,2021/11/20 10:00:00+00,577013
628,2021/11/21 10:00:00+00,578019
629,2021/11/22 10:00:00+00,578851
630,2021/11/23 10:00:00+00,579591
631,2021/11/24 10:00:00+00,580496
